weekday,hour,mean,std,venue
1,0,15.76923076923077,6.730870328911067,barclays center
1,1,8.538461538461538,6.475991162629977,barclays center
1,2,4.1923076923076925,2.912308098663062,barclays center
1,3,2.6923076923076925,1.9135146880905989,barclays center
1,4,4.730769230769231,1.7789365881378079,barclays center
1,5,2.423076923076923,1.553655738523227,barclays center
1,6,5.115384615384615,3.1154700842976886,barclays center
1,7,10.615384615384615,3.150579922197475,barclays center
1,8,14.153846153846153,5.869870919823077,barclays center
1,9,15.307692307692308,4.416054626195023,barclays center
1,10,13.961538461538462,3.872784726583901,barclays center
1,11,15.26923076923077,6.545579835630712,barclays center
1,12,18.73076923076923,13.192596991669813,barclays center
1,13,15.307692307692308,7.018656457010735,barclays center
1,14,15.423076923076923,4.7258698832962125,barclays center
1,15,20.03846153846154,4.886559274014953,barclays center
1,16,20.576923076923077,4.68335842679654,barclays center
1,17,26.53846153846154,9.113641508116364,barclays center
1,18,38.80769230769231,20.761539886567622,barclays center
1,19,48.61538461538461,33.01645277503557,barclays center
1,20,28.153846153846153,10.03869436806324,barclays center
1,21,24.115384615384617,4.893480749543605,barclays center
1,22,24.23076923076923,4.650227455148337,barclays center
1,23,19.346153846153847,4.577705169119634,barclays center
2,0,13.653846153846153,5.476804233801371,barclays center
2,1,6.730769230769231,2.9059620411518425,barclays center
2,2,3.5384615384615383,2.0828973902863144,barclays center
2,3,2.8846153846153846,1.7510436448455096,barclays center
2,4,2.3076923076923075,1.543223399750814,barclays center
2,5,2.1153846153846154,1.336470667898793,barclays center
2,6,6.3076923076923075,2.679839260392022,barclays center
2,7,12.423076923076923,4.553443329376809,barclays center
2,8,15.538461538461538,4.6409548089225705,barclays center
2,9,15.5,3.8392707640904935,barclays center
2,10,15.576923076923077,4.9248194031706545,barclays center
2,11,13.23076923076923,4.13093396033093,barclays center
2,12,16.26923076923077,4.804645188212693,barclays center
2,13,14.038461538461538,3.316392850441808,barclays center
2,14,15.576923076923077,4.65766531148881,barclays center
2,15,18.26923076923077,3.3413493359143676,barclays center
2,16,20.26923076923077,5.188893464373246,barclays center
2,17,26.23076923076923,7.45819116036961,barclays center
2,18,40.07692307692308,17.674666790461597,barclays center
2,19,45.80769230769231,23.40772390604303,barclays center
2,20,35.5,12.397580409095962,barclays center
2,21,30.884615384615383,7.659383385505248,barclays center
2,22,29.307692307692307,6.571266123171276,barclays center
2,23,24.807692307692307,5.782865938402729,barclays center
3,0,17.03846153846154,4.828919293015938,barclays center
3,1,9.307692307692308,3.06945246934017,barclays center
3,2,5.346153846153846,2.1714936369661824,barclays center
3,3,2.3076923076923075,1.5689290811054724,barclays center
3,4,2.5384615384615383,1.5551403597301237,barclays center
3,5,2.423076923076923,1.724484315337821,barclays center
3,6,5.5,2.8460498941515415,barclays center
3,7,12.076923076923077,3.097393445115772,barclays center
3,8,16.076923076923077,4.3993006437212445,barclays center
3,9,16.307692307692307,4.781374118549861,barclays center
3,10,13.615384615384615,3.5785686868011695,barclays center
3,11,15.5,4.545327270945404,barclays center
3,12,15.0,3.847076812334269,barclays center
3,13,15.884615384615385,5.038467410448721,barclays center
3,14,15.538461538461538,4.4382948908856354,barclays center
3,15,19.692307692307693,5.097208889337229,barclays center
3,16,23.03846153846154,7.23038460515494,barclays center
3,17,27.615384615384617,6.499704135278303,barclays center
3,18,39.30769230769231,13.117222970642015,barclays center
3,19,61.11538461538461,31.39850559893184,barclays center
3,20,47.30769230769231,25.419314279923807,barclays center
3,21,37.65384615384615,8.50384528406912,barclays center
3,22,34.5,5.7775427302617155,barclays center
3,23,30.576923076923077,8.010858016083306,barclays center
4,0,21.76923076923077,6.256565782009759,barclays center
4,1,11.26923076923077,4.57434316428221,barclays center
4,2,5.5,2.7892651361962706,barclays center
4,3,3.423076923076923,1.8148956316676046,barclays center
4,4,3.5384615384615383,1.8161667154921484,barclays center
4,5,2.769230769230769,1.6323649667324351,barclays center
4,6,5.461538461538462,2.4856511296763957,barclays center
