day,daily_total,venue
2016-03-23,2,terminal 5
2016-03-25,2,terminal 5
2016-03-26,1,terminal 5
2016-04-01,1,terminal 5
2016-04-02,1,terminal 5
2016-04-04,1,terminal 5
2016-04-14,1,terminal 5
2016-04-15,1,terminal 5
2016-04-16,1,terminal 5
2016-04-20,1,terminal 5
2016-05-05,2,terminal 5
2016-05-11,3,terminal 5
2016-05-12,2,terminal 5
2016-05-13,2,terminal 5
2016-05-14,1,terminal 5
2016-05-19,1,terminal 5
2016-05-24,1,terminal 5
2016-05-25,1,terminal 5
2016-06-15,1,terminal 5
2016-06-16,2,terminal 5
2016-06-17,1,terminal 5
2016-06-21,3,terminal 5
2016-06-24,2,terminal 5
2016-07-07,1,terminal 5
2016-07-22,3,terminal 5
2016-08-02,2,terminal 5
2016-08-09,1,terminal 5
2016-08-15,2,terminal 5
2016-08-16,1,terminal 5
2016-08-23,3,terminal 5
2016-08-27,1,terminal 5
2015-09-18,1,the town hall
2015-09-22,1,the town hall
2015-09-24,1,the town hall
2015-09-25,1,the town hall
2015-09-27,1,the town hall
2015-09-30,2,the town hall
2015-10-01,1,the town hall
2015-10-02,1,the town hall
2015-10-04,2,the town hall
2015-10-07,1,the town hall
2015-10-08,1,the town hall
2015-10-09,2,the town hall
2015-10-12,1,the town hall
2015-10-15,1,the town hall
2015-10-16,2,the town hall
2015-10-17,3,the town hall
2015-10-21,1,the town hall
2015-10-22,1,the town hall
2015-10-25,1,the town hall
2015-11-03,1,the town hall
2015-11-04,1,the town hall
2015-11-07,1,the town hall
2015-11-09,1,the town hall
2015-11-10,2,the town hall
2015-11-15,1,the town hall
2015-11-16,1,the town hall
2015-11-17,1,the town hall
2015-11-19,2,the town hall
2015-11-21,3,the town hall
2015-11-26,1,the town hall
2015-11-27,1,the town hall
2015-11-28,2,the town hall
2015-12-03,1,the town hall
2015-12-05,3,the town hall
2015-12-12,2,the town hall
2015-12-13,1,the town hall
2015-12-14,1,the town hall
2015-12-16,1,the town hall
2015-12-18,1,the town hall
2015-12-19,1,the town hall
2015-12-20,1,the town hall
2015-12-31,1,the town hall
2016-02-02,1,the town hall
2016-02-06,1,the town hall
2016-02-13,1,the town hall
2016-02-14,1,the town hall
2016-02-19,2,the town hall
2016-02-27,1,the town hall
2016-03-02,2,the town hall
2016-03-03,2,the town hall
2016-03-06,1,the town hall
2016-03-12,2,the town hall
2016-03-17,1,the town hall
2016-03-22,1,the town hall
2016-03-25,2,the town hall
2016-03-26,1,the town hall
2016-04-02,2,the town hall
2016-04-03,2,the town hall
2016-04-16,2,the town hall
2016-04-17,1,the town hall
2016-04-26,1,the town hall
2016-04-29,2,the town hall
2016-04-30,1,the town hall
2016-05-01,1,the town hall
2016-05-12,2,the town hall
2016-05-13,1,the town hall
2016-05-14,1,the town hall
2016-05-15,1,the town hall
2016-05-17,1,the town hall
2016-05-20,2,the town hall
2016-05-22,1,the town hall
2016-05-23,1,the town hall
2016-06-16,2,the town hall
2016-06-20,2,the town hall
2016-06-23,1,the town hall
2016-06-25,2,the town hall
2016-07-21,3,the town hall
2016-07-25,2,the town hall
2016-08-06,1,the town hall
